Latitude (decimal degrees):	10.702
Longitude (decimal degrees):	122.562
Elevation (m):	9
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20160101:0030,316.0,407.06,29.94,25.7,5.24,0.0
20160101:0130,461.08,581.96,41.38,26.83,6.34,0.0
20160101:0230,545.58,690.96,50.62,27.4,6.55,0.0
20160101:0330,594.56,755.36,55.82,28.05,6.69,0.0
20160101:0430,614.85,783.56,55.1,28.47,6.69,0.0
20160101:0530,559.39,711.21,48.79,28.71,6.76,0.0
20160101:0630,454.63,579.51,38.92,28.71,6.55,0.0
20160101:0730,309.83,407.51,27.15,28.52,6.41,0.0
20160101:0830,122.0,193.96,14.39,28.08,6.21,0.0
20160101:0930,1.93,10.6,1.07,27.29,5.66,0.0
20160101:1030,0.0,0.0,0.0,26.3,5.24,0.0
20160101:1130,0.0,0.0,0.0,25.8,5.24,0.0
20160101:1230,0.0,0.0,0.0,25.59,5.24,0.0
20160101:1330,0.0,0.0,0.0,25.46,5.31,0.0
20160101:1430,0.0,0.0,0.0,25.44,5.52,0.0
20160101:1530,0.0,0.0,0.0,25.4,5.72,0.0
20160101:1630,0.0,0.0,0.0,25.32,5.72,0.0
20160101:1730,0.0,0.0,0.0,25.16,5.59,0.0
20160101:1830,0.0,0.0,0.0,24.88,5.38,0.0
20160101:1930,0.0,0.0,0.0,24.73,5.45,0.0
20160101:2030,0.0,0.0,0.0,24.54,5.31,0.0
20160101:2130,0.0,0.0,0.0,24.44,5.1,0.0
20160101:2230,9.77,38.46,4.14,24.32,4.9,0.0
20160101:2330,163.72,236.71,17.36,24.64,4.55,0.0
20160102:0030,347.36,447.01,29.89,25.62,4.97,0.0
20160102:0130,526.26,669.01,41.36,26.68,5.24,0.0
20160102:0230,610.52,782.16,50.63,27.68,5.31,0.0
20160102:0330,684.51,886.36,55.88,28.35,5.31,0.0
20160102:0430,670.84,870.51,55.21,28.91,5.24,0.0
20160102:0530,600.66,775.71,48.92,29.15,5.17,0.0
20160102:0630,486.64,626.21,39.05,29.11,5.24,0.0
20160102:0730,305.46,404.26,27.28,28.92,4.97,0.0
20160102:0830,128.79,203.56,14.51,28.41,4.9,0.0
20160102:0930,2.12,11.0,1.19,27.53,4.48,0.0
20160102:1030,0.0,0.0,0.0,26.4,4.62,0.0
20160102:1130,0.0,0.0,0.0,25.82,4.76,0.0
20160102:1230,0.0,0.0,0.0,25.52,4.76,0.0
20160102:1330,0.0,0.0,0.0,25.38,4.9,0.0
20160102:1430,0.0,0.0,0.0,25.13,4.9,0.0
20160102:1530,0.0,0.0,0.0,24.93,4.9,0.0
20160102:1630,0.0,0.0,0.0,24.8,4.83,0.0
20160102:1730,0.0,0.0,0.0,24.66,4.62,0.0
20160102:1830,0.0,0.0,0.0,24.44,4.41,0.0
20160102:1930,0.0,0.0,0.0,24.34,4.62,0.0
20160102:2030,0.0,0.0,0.0,24.21,4.48,0.0
20160102:2130,0.0,0.0,0.0,24.13,4.55,0.0
20160102:2230,9.73,38.04,4.06,24.2,4.69,0.0
20160102:2330,153.95,222.3,17.29,24.54,4.69,0.0
20160103:0030,354.76,455.31,29.85,25.55,5.59,0.0
20160103:0130,463.92,586.11,41.34,26.7,6.28,0.0
20160103:0230,577.23,732.56,50.66,27.21,6.21,0.0
20160103:0330,607.2,774.31,55.96,27.76,5.79,0.0
20160103:0430,605.34,773.41,55.33,28.19,5.79,0.0
20160103:0530,455.88,579.61,49.06,28.49,5.79,0.0
20160103:0630,326.57,418.6,39.19,28.18,5.66,0.0
20160103:0730,287.51,379.16,27.42,28.05,5.1,0.0
20160103:0830,100.15,160.55,14.64,27.73,5.17,0.0
20160103:0930,2.3,11.35,1.31,26.99,4.55,0.0
20160103:1030,0.0,0.0,0.0,26.15,4.69,0.0
20160103:1130,0.0,0.0,0.0,25.73,4.69,0.0
20160103:1230,0.0,0.0,0.0,25.67,4.69,0.0
20160103:1330,0.0,0.0,0.0,25.62,4.83,0.0
20160103:1430,0.0,0.0,0.0,25.53,4.97,0.0
20160103:1530,0.0,0.0,0.0,25.21,5.1,0.0
20160103:1630,0.0,0.0,0.0,24.95,5.03,0.0
20160103:1730,0.0,0.0,0.0,24.76,4.9,0.0
20160103:1830,0.0,0.0,0.0,24.74,4.76,0.0
20160103:1930,0.0,0.0,0.0,24.77,4.55,0.0
20160103:2030,0.0,0.0,0.0,24.68,4.48,0.0
20160103:2130,0.0,0.0,0.0,24.67,4.55,0.0
20160103:2230,9.52,38.57,3.98,24.58,4.62,0.0
20160103:2330,150.77,219.15,17.22,24.9,4.76,0.0
20160104:0030,323.75,416.96,29.81,25.8,5.38,0.0
20160104:0130,447.46,565.86,41.32,26.75,5.86,0.0
20160104:0230,577.34,734.46,50.68,27.5,5.93,0.0
20160104:0330,629.19,805.86,56.04,28.3,5.86,0.0
20160104:0430,568.06,725.41,55.46,28.71,5.93,0.0
20160104:0530,556.75,712.51,49.2,28.79,5.79,0.0
20160104:0630,462.74,592.26,39.33,28.85,5.72,0.0
20160104:0730,322.74,424.76,27.55,28.6,5.52,0.0
20160104:0830,120.78,190.7,14.76,28.11,5.31,0.0
20160104:0930,2.2,11.15,1.43,27.17,4.69,0.0
20160104:1030,0.0,0.0,0.0,25.96,4.55,0.0
20160104:1130,0.0,0.0,0.0,25.22,4.34,0.0
20160104:1230,0.0,0.0,0.0,24.79,4.21,0.0
20160104:1330,0.0,0.0,0.0,24.5,4.0,0.0
20160104:1430,0.0,0.0,0.0,24.33,3.79,0.0
20160104:1530,0.0,0.0,0.0,24.17,3.59,0.0
20160104:1630,0.0,0.0,0.0,24.01,3.52,0.0
20160104:1730,0.0,0.0,0.0,23.81,3.52,0.0
20160104:1830,0.0,0.0,0.0,23.73,3.59,0.0
20160104:1930,0.0,0.0,0.0,23.82,3.79,0.0
20160104:2030,0.0,0.0,0.0,23.89,4.0,0.0
20160104:2130,0.0,0.0,0.0,23.95,4.14,0.0
20160104:2230,9.02,38.33,3.91,23.89,4.28,0.0
20160104:2330,157.69,228.65,17.16,24.23,4.48,0.0
20160105:0030,343.11,440.31,29.77,25.25,5.45,0.0
20160105:0130,521.04,659.11,41.32,26.24,5.72,0.0
20160105:0230,625.05,797.31,50.72,27.22,5.79,0.0
20160105:0330,662.41,852.16,56.12,27.9,5.59,0.0
20160105:0430,645.91,834.11,55.59,28.4,5.17,0.0
20160105:0530,594.75,767.81,49.35,28.6,4.83,0.0
20160105:0630,474.02,610.16,39.48,28.66,4.76,0.0
20160105:0730,329.86,434.36,27.69,28.3,4.69,0.0
20160105:0830,134.63,209.91,14.89,27.85,4.83,0.0
20160105:0930,2.49,11.75,1.55,26.96,4.34,0.0
20160105:1030,0.0,0.0,0.0,25.76,4.41,0.0
20160105:1130,0.0,0.0,0.0,25.04,4.55,0.0
20160105:1230,0.0,0.0,0.0,24.64,4.48,0.0
20160105:1330,0.0,0.0,0.0,24.4,4.34,0.0
20160105:1430,0.0,0.0,0.0,24.28,4.21,0.0
20160105:1530,0.0,0.0,0.0,24.19,3.93,0.0
20160105:1630,0.0,0.0,0.0,24.12,3.72,0.0
20160105:1730,0.0,0.0,0.0,24.13,3.66,0.0
20160105:1830,0.0,0.0,0.0,24.08,3.59,0.0
20160105:1930,0.0,0.0,0.0,24.05,3.59,0.0
20160105:2030,0.0,0.0,0.0,24.17,3.66,0.0
20160105:2130,0.0,0.0,0.0,24.3,3.59,0.0
20160105:2230,8.78,34.38,3.83,24.06,3.38,0.0
20160105:2330,153.52,224.15,17.11,24.36,3.45,0.0
20160106:0030,326.39,422.11,29.74,25.55,4.0,0.0
20160106:0130,463.22,589.26,41.31,26.66,4.62,0.0
20160106:0230,509.78,649.96,50.76,27.4,4.62,0.0
20160106:0330,546.85,700.86,56.22,27.88,4.62,0.0
20160106:0430,571.57,734.31,55.73,28.26,4.83,0.0
20160106:0530,497.44,636.51,49.5,28.42,4.9,0.0
20160106:0630,404.52,517.46,39.62,28.36,4.9,0.0
20160106:0730,200.41,269.0,27.83,28.15,4.41,0.0
20160106:0830,94.95,151.3,15.02,27.77,4.14,0.0
20160106:0930,1.91,10.55,1.67,27.15,3.72,0.0
20160106:1030,0.0,0.0,0.0,26.26,3.72,0.0
20160106:1130,0.0,0.0,0.0,25.76,4.07,0.0
